,date,type,value
0,2000-01-01,actual,4.0
1,2000-02-01,actual,4.1
2,2000-03-01,actual,4.0
3,2000-04-01,actual,3.8
4,2000-05-01,actual,4.0
5,2000-06-01,actual,4.0
6,2000-07-01,actual,4.0
7,2000-08-01,actual,4.1
8,2000-09-01,actual,3.9
9,2000-10-01,actual,3.9
10,2000-11-01,actual,3.9
11,2000-12-01,actual,3.9
12,2001-01-01,actual,4.2
13,2001-02-01,actual,4.2
14,2001-03-01,actual,4.3
15,2001-04-01,actual,4.4
16,2001-05-01,actual,4.3
17,2001-06-01,actual,4.5
18,2001-07-01,actual,4.6
19,2001-08-01,actual,4.9
20,2001-09-01,actual,5.0
21,2001-10-01,actual,5.3
22,2001-11-01,actual,5.5
23,2001-12-01,actual,5.7
24,2002-01-01,actual,5.7
25,2002-02-01,actual,5.7
26,2002-03-01,actual,5.7
27,2002-04-01,actual,5.9
28,2002-05-01,actual,5.8
29,2002-06-01,actual,5.8
30,2002-07-01,actual,5.8
31,2002-08-01,actual,5.7
32,2002-09-01,actual,5.7
33,2002-10-01,actual,5.7
34,2002-11-01,actual,5.9
35,2002-12-01,actual,6.0
36,2003-01-01,actual,5.8
37,2003-02-01,actual,5.9
38,2003-03-01,actual,5.9
39,2003-04-01,actual,6.0
40,2003-05-01,actual,6.1
41,2003-06-01,actual,6.3
42,2003-07-01,actual,6.2
43,2003-08-01,actual,6.1
44,2003-09-01,actual,6.1
45,2003-10-01,actual,6.0
46,2003-11-01,actual,5.8
47,2003-12-01,actual,5.7
48,2004-01-01,actual,5.7
49,2004-02-01,actual,5.6
50,2004-03-01,actual,5.8
51,2004-04-01,actual,5.6
52,2004-05-01,actual,5.6
53,2004-06-01,actual,5.6
54,2004-07-01,actual,5.5
55,2004-08-01,actual,5.4
56,2004-09-01,actual,5.4
57,2004-10-01,actual,5.5
58,2004-11-01,actual,5.4
59,2004-12-01,actual,5.4
60,2005-01-01,actual,5.3
61,2005-02-01,actual,5.4
62,2005-03-01,actual,5.2
63,2005-04-01,actual,5.2
64,2005-05-01,actual,5.1
65,2005-06-01,actual,5.0
66,2005-07-01,actual,5.0
67,2005-08-01,actual,4.9
68,2005-09-01,actual,5.0
69,2005-10-01,actual,5.0
70,2005-11-01,actual,5.0
71,2005-12-01,actual,4.9
72,2006-01-01,actual,4.7
73,2006-02-01,actual,4.8
74,2006-03-01,actual,4.7
75,2006-04-01,actual,4.7
76,2006-05-01,actual,4.6
77,2006-06-01,actual,4.6
78,2006-07-01,actual,4.7
79,2006-08-01,actual,4.7
80,2006-09-01,actual,4.5
81,2006-10-01,actual,4.4
82,2006-11-01,actual,4.5
83,2006-12-01,actual,4.4
84,2007-01-01,actual,4.6
85,2007-02-01,actual,4.5
86,2007-03-01,actual,4.4
87,2007-04-01,actual,4.5
88,2007-05-01,actual,4.4
89,2007-06-01,actual,4.6
90,2007-07-01,actual,4.7
91,2007-08-01,actual,4.6
92,2007-09-01,actual,4.7
93,2007-10-01,actual,4.7
94,2007-11-01,actual,4.7
95,2007-12-01,actual,5.0
96,2008-01-01,actual,5.0
97,2008-02-01,actual,4.9
98,2008-03-01,actual,5.1
99,2008-04-01,actual,5.0
100,2008-05-01,actual,5.4
101,2008-06-01,actual,5.6
102,2008-07-01,actual,5.8
103,2008-08-01,actual,6.1
104,2008-09-01,actual,6.1
105,2008-10-01,actual,6.5
106,2008-11-01,actual,6.8
107,2008-12-01,actual,7.3
108,2009-01-01,actual,7.8
109,2009-02-01,actual,8.3
110,2009-03-01,actual,8.7
111,2009-04-01,actual,9.0
112,2009-05-01,actual,9.4
113,2009-06-01,actual,9.5
114,2009-07-01,actual,9.5
115,2009-08-01,actual,9.6
116,2009-09-01,actual,9.8
117,2009-10-01,actual,10.0
118,2009-11-01,actual,9.9
119,2009-12-01,actual,9.9
120,2010-01-01,actual,9.8
121,2010-02-01,actual,9.8
122,2010-03-01,actual,9.9
123,2010-04-01,actual,9.9
124,2010-05-01,actual,9.6
125,2010-06-01,actual,9.4
126,2010-07-01,actual,9.4
127,2010-08-01,actual,9.5
128,2010-09-01,actual,9.5
129,2010-10-01,actual,9.4
130,2010-11-01,actual,9.8
131,2010-12-01,actual,9.3
132,2011-01-01,actual,9.1
133,2011-02-01,actual,9.0
134,2011-03-01,actual,9.0
135,2011-04-01,actual,9.1
136,2011-05-01,actual,9.0
137,2011-06-01,actual,9.1
138,2011-07-01,actual,9.0
139,2011-08-01,actual,9.0
140,2011-09-01,actual,9.0
141,2011-10-01,actual,8.8
142,2011-11-01,actual,8.6
143,2011-12-01,actual,8.5
144,2012-01-01,actual,8.3
145,2012-02-01,actual,8.3
146,2012-03-01,actual,8.2
147,2012-04-01,actual,8.2
148,2012-05-01,actual,8.2
149,2012-06-01,actual,8.2
150,2012-07-01,actual,8.2
151,2012-08-01,actual,8.1
152,2012-09-01,actual,7.8
153,2012-10-01,actual,7.8
154,2012-11-01,actual,7.7
155,2012-12-01,actual,7.9
156,2013-01-01,actual,8.0
157,2013-02-01,actual,7.7
158,2013-03-01,actual,7.5
159,2013-04-01,actual,7.6
160,2013-05-01,actual,7.5
161,2013-06-01,actual,7.5
162,2013-07-01,actual,7.3
163,2013-08-01,actual,7.2
164,2013-09-01,actual,7.2
165,2013-10-01,actual,7.2
166,2013-11-01,actual,6.9
167,2013-12-01,actual,6.7
168,2014-01-01,actual,6.6
169,2014-02-01,actual,6.7
170,2014-03-01,actual,6.7
171,2014-04-01,actual,6.2
172,2014-05-01,actual,6.3
173,2014-06-01,actual,6.1
174,2014-07-01,actual,6.2
175,2014-08-01,actual,6.1
176,2014-09-01,actual,5.9
177,2014-10-01,actual,5.7
178,2014-11-01,actual,5.8
